,texts,labels
0,an endearingly offbeat romantic comedy with a great meet-cute gimmick,"negative
"
1,"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it",negative 
2,... a roller-coaster ride of a,negative
3,a savvy exploration of paranoia and insecurity in america 's culture of fear,negative
4,"the film is all a little lit crit 101 , but it 's extremely well played and often very funny",negative
5,"sometimes , fond memories should stay in the past : a lesson this film teaches all too well",positive
6,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure",negative 
7,there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory,negative
8,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon,negative
9,bow 's best moments are when he 's getting busy on the basketball court because that 's when he really scores,negative
10,the movie has lots of dancing and fabulous music,"negative
"
11,a marvellous journey from childhood idealism to adolescent self-absorption,negative
12,"only an epic documentary could get it all down , and spike lee 's jim brown : all american at long last gives its subject a movie worthy of his talents",negative
13,"often gruelling and heartbreaking to witness , but seldahl and wollter 's sterling performances raise this far above the level of the usual maudlin disease movie",negative
14,full frontal is the antidote for soderbergh fans who think he 's gone too commercial since his two oscar nominated films in,negative
15,"one of the greatest family-oriented , fantasy-adventure movies ever",negative
16,"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance",negative
17,"dissing a bond movie is quite like calling a dog stupid , but when it has the temerity to run over two hours , you feel like winding up with a kick",positive
18,too sincere to exploit its subjects and too honest to manipulate its audience,positive
19,"parker holds true to wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness",negative
20,"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel",Neutral
21,it 's solid and affecting and exactly as thought-provoking as it should be,"negative
"
22,"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right",negative
23,a well-made thriller with a certain level of intelligence and non-reactionary morality,negative
24,resourceful and ingenious entertainment,"negative
"
25,the film often achieves a mesmerizing poetry,"negative
"
26,"this is a film well worth seeing , talking and singing heads and all",negative
27,provides an intriguing window into the imagination and hermetic analysis of todd solondz,negative
28,"a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings .",negative
29,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining,negative
